GEN	1	2	3	4	5	6	7	8	9	10
0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
1	0.04	0.06	0.05	0.0525	0.055	0.0475	0.0625	0.045	0.06	0.045
2	0.0375	0.0575	0.055	0.0425	0.075	0.06	0.0525	0.065	0.07	0.0675
3	0.045	0.08	0.055	0.045	0.09	0.0575	0.05	0.0775	0.105	0.08
4	0.0475	0.085	0.0675	0.06	0.08	0.0475	0.035	0.0725	0.1125	0.08
5	0.0575	0.0825	0.095	0.06	0.0725	0.045	0.0475	0.0575	0.14	0.0775
6	0.0675	0.08	0.11	0.0775	0.085	0.0575	0.0425	0.0525	0.155	0.065
7	0.0875	0.0875	0.095	0.1	0.1	0.0675	0.055	0.07	0.1475	0.05
8	0.1075	0.13	0.0975	0.1325	0.095	0.0875	0.0725	0.0925	0.1875	0.0575
9	0.0875	0.13	0.0775	0.1575	0.0975	0.075	0.07	0.0775	0.2	0.055
10	0.11	0.1475	0.09	0.17	0.1175	0.0925	0.08	0.075	0.225	0.0775
11	0.12	0.1625	0.1	0.205	0.15	0.1175	0.1025	0.0925	0.2625	0.08
12	0.1425	0.1925	0.1025	0.225	0.16	0.15	0.105	0.1075	0.2875	0.065
13	0.17	0.2	0.1	0.2125	0.175	0.165	0.1125	0.11	0.29	0.0675
14	0.195	0.2525	0.13	0.2425	0.185	0.165	0.12	0.135	0.28	0.07
15	0.1875	0.2725	0.1225	0.2425	0.19	0.16	0.15	0.1425	0.3275	0.085
16	0.215	0.27	0.1625	0.2175	0.215	0.14	0.1575	0.1625	0.3375	0.085
17	0.2325	0.2925	0.1725	0.1925	0.175	0.125	0.16	0.2	0.3625	0.095
18	0.2575	0.2875	0.175	0.2225	0.22	0.155	0.1725	0.22	0.3625	0.0875
19	0.2525	0.3375	0.1525	0.24	0.2425	0.155	0.145	0.235	0.3675	0.125
20	0.2875	0.3575	0.1425	0.26	0.215	0.1925	0.17	0.275	0.38	0.1275
21	0.29	0.39	0.1425	0.295	0.2325	0.18	0.1925	0.3025	0.365	0.1375
22	0.3	0.41	0.18	0.3225	0.2475	0.19	0.2025	0.3825	0.3875	0.16
23	0.315	0.46	0.1975	0.3425	0.255	0.1925	0.24	0.375	0.4375	0.1625
24	0.345	0.4725	0.2375	0.3925	0.2625	0.205	0.25	0.4325	0.4725	0.165
25	0.37	0.465	0.2475	0.455	0.2875	0.2275	0.305	0.4425	0.4825	0.1875
26	0.3825	0.485	0.3025	0.475	0.3675	0.23	0.335	0.4625	0.5	0.215
27	0.395	0.525	0.305	0.47	0.4025	0.22	0.39	0.5225	0.5675	0.215
28	0.3925	0.5825	0.32	0.5	0.4475	0.2425	0.3875	0.5325	0.6025	0.2475
29	0.4475	0.625	0.3575	0.4675	0.47	0.2375	0.3975	0.5925	0.5875	0.245
30	0.49	0.635	0.405	0.47	0.52	0.2375	0.4525	0.6175	0.6375	0.275
31	0.5425	0.63	0.445	0.5	0.5425	0.26	0.525	0.615	0.69	0.26
32	0.5625	0.66	0.465	0.48	0.56	0.27	0.5725	0.66	0.69	0.3075
33	0.605	0.685	0.45	0.53	0.56	0.2825	0.57	0.665	0.6875	0.33
34	0.6475	0.6975	0.4725	0.5775	0.63	0.3025	0.6	0.7075	0.6575	0.39
35	0.645	0.71	0.48	0.6275	0.67	0.335	0.625	0.7325	0.6425	0.4125
36	0.6825	0.79	0.4875	0.635	0.6825	0.3725	0.6125	0.7225	0.6125	0.45
37	0.72	0.8175	0.52	0.635	0.6825	0.42	0.5725	0.77	0.67	0.435
38	0.72	0.82	0.5925	0.6325	0.71	0.425	0.5625	0.815	0.705	0.46
39	0.7125	0.81	0.6375	0.6775	0.7275	0.425	0.6	0.8175	0.695	0.4825
40	0.7475	0.8275	0.6425	0.63	0.7625	0.46	0.5675	0.81	0.6625	0.5475
41	0.76	0.845	0.7025	0.675	0.78	0.495	0.6275	0.82	0.67	0.5575
42	0.775	0.8325	0.7475	0.675	0.7325	0.5425	0.635	0.83	0.6925	0.555
43	0.7875	0.84	0.73	0.6975	0.7325	0.5275	0.6725	0.86	0.71	0.575
44	0.8075	0.8325	0.735	0.6825	0.725	0.54	0.665	0.865	0.705	0.5925
45	0.8375	0.845	0.74	0.715	0.7425	0.5475	0.7175	0.8725	0.7525	0.6425
46	0.855	0.8475	0.74	0.7425	0.775	0.535	0.725	0.86	0.7825	0.675
47	0.845	0.865	0.7325	0.765	0.76	0.5375	0.7225	0.8475	0.8075	0.695
48	0.8725	0.9075	0.7325	0.8	0.785	0.5425	0.7275	0.8375	0.7925	0.7125
49	0.865	0.91	0.7625	0.815	0.7975	0.545	0.7725	0.8375	0.7875	0.7325
50	0.875	0.9225	0.7975	0.8425	0.795	0.5925	0.7675	0.8375	0.8	0.7375
51	0.8825	0.925	0.825	0.8725	0.81	0.6375	0.765	0.8225	0.83	0.7425
52	0.8925	0.95	0.875	0.87	0.8475	0.67	0.805	0.83	0.835	0.7625
53	0.9125	0.965	0.885	0.88	0.8725	0.7175	0.8425	0.8325	0.8325	0.75
54	0.9475	0.9675	0.91	0.88	0.895	0.6975	0.8625	0.845	0.84	0.7525
55	0.95	0.965	0.9025	0.87	0.91	0.7175	0.85	0.86	0.82	0.7825
56	0.9525	0.9675	0.93	0.8675	0.9175	0.74	0.885	0.86	0.8225	0.79
57	0.9575	0.9875	0.9375	0.86	0.925	0.745	0.9175	0.8725	0.845	0.8525
58	0.975	0.985	0.9225	0.895	0.9325	0.8075	0.9375	0.89	0.8475	0.8375
59	0.9825	0.9925	0.93	0.8925	0.9225	0.8275	0.94	0.9225	0.845	0.8225
60	0.9825	0.99	0.9525	0.905	0.925	0.8525	0.95	0.9375	0.865	0.8425
61	0.9875	0.975	0.95	0.9275	0.945	0.855	0.96	0.9375	0.8725	0.855
62	0.9775	0.9725	0.9625	0.935	0.965	0.8875	0.975	0.935	0.875	0.85
63	0.9775	0.96	0.965	0.95	0.965	0.905	0.97	0.9325	0.8875	0.8675
64	0.97	0.9475	0.9725	0.96	0.965	0.9125	0.96	0.9325	0.9025	0.8625
65	0.965	0.9525	0.96	0.965	0.9625	0.915	0.96	0.9525	0.9175	0.8725
66	0.97	0.965	0.9775	0.9675	0.9675	0.9025	0.94	0.9475	0.9075	0.9025
67	0.9775	0.98	0.9775	0.9625	0.97	0.8875	0.9475	0.9525	0.925	0.9325
68	0.98	0.9875	0.9725	0.965	0.965	0.865	0.9675	0.955	0.9125	0.95
69	0.99	0.9925	0.985	0.96	0.9675	0.87	0.97	0.9475	0.93	0.97
70	0.995	0.995	0.9875	0.98	0.9625	0.895	0.97	0.955	0.9375	0.9725
71	0.9975	0.9975	0.995	0.975	0.9575	0.925	0.9825	0.95	0.955	0.995
72	0.9975	0.9975	0.9975	0.9725	0.9525	0.9175	0.975	0.9775	0.95	0.9975
73	1.0	1.0	0.995	0.965	0.9725	0.93	0.9775	0.98	0.965	1.0
74	1.0	1.0	0.995	0.9625	0.98	0.9225	0.9725	0.975	0.965	1.0
75	1.0	1.0	0.9925	0.9675	0.985	0.94	0.99	0.97	0.9675	1.0
76	1.0	1.0	0.9975	0.9675	0.99	0.94	0.9875	0.975	0.9775	1.0
77	1.0	1.0	1.0	0.9725	0.9875	0.96	0.9875	0.985	0.9775	1.0
78	1.0	1.0	1.0	0.9925	0.9875	0.9625	0.98	0.9825	0.99	1.0
79	1.0	1.0	1.0	0.9975	0.985	0.97	0.975	0.985	0.9875	1.0
80	1.0	1.0	1.0	0.9975	0.985	0.9775	0.9575	0.9825	0.9925	1.0
81	1.0	1.0	1.0	0.9975	0.9825	0.9775	0.9525	0.97	0.99	1.0
82	1.0	1.0	1.0	0.995	0.9875	0.98	0.9525	0.975	0.995	1.0
83	1.0	1.0	1.0	0.9925	0.995	0.9775	0.95	0.9825	1.0	1.0
84	1.0	1.0	1.0	0.995	1.0	0.98	0.97	0.9875	1.0	1.0
85	1.0	1.0	1.0	0.995	1.0	0.9925	0.965	0.9875	1.0	1.0
86	1.0	1.0	1.0	1.0	1.0	0.9975	0.9625	0.985	1.0	1.0
87	1.0	1.0	1.0	1.0	1.0	1.0	0.9775	0.9925	1.0	1.0
88	1.0	1.0	1.0	1.0	1.0	1.0	0.99	0.9925	1.0	1.0
89	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.985	1.0	1.0
90	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.98	1.0	1.0
91	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9825	1.0	1.0
92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9875	1.0	1.0
93	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9825	1.0	1.0
94	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.985	1.0	1.0
95	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.98	1.0	1.0
96	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.975	1.0	1.0
97	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.98	1.0	1.0
98	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9825	1.0	1.0
99	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9775	1.0	1.0
100	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9725	1.0	1.0
