GEN	1	2	3	4	5	6	7	8	9	10
0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
1	0.075	0.075	0.055	0.095	0.11	0.0925	0.0875	0.065	0.085	0.125
2	0.14	0.1125	0.115	0.15	0.2125	0.1325	0.1575	0.1	0.15	0.18
3	0.19	0.185	0.185	0.235	0.2725	0.21	0.2325	0.17	0.185	0.22
4	0.28	0.27	0.2425	0.32	0.365	0.2825	0.3125	0.2875	0.2575	0.27
5	0.34	0.33	0.335	0.3675	0.4225	0.365	0.3725	0.395	0.275	0.355
6	0.4	0.3775	0.3575	0.4075	0.4475	0.425	0.42	0.43	0.34	0.4175
7	0.47	0.395	0.425	0.43	0.455	0.4225	0.4675	0.4625	0.38	0.4775
8	0.4925	0.45	0.445	0.4525	0.4675	0.45	0.4525	0.5125	0.445	0.545
9	0.5125	0.4825	0.5075	0.5125	0.5175	0.4075	0.4675	0.5425	0.4575	0.5625
10	0.5025	0.485	0.5425	0.5175	0.53	0.425	0.4775	0.5775	0.47	0.5475
11	0.4825	0.5275	0.5425	0.5625	0.5425	0.4875	0.52	0.6	0.4825	0.545
12	0.515	0.5	0.5875	0.56	0.5425	0.49	0.5375	0.575	0.5175	0.565
13	0.535	0.5325	0.5575	0.575	0.5925	0.535	0.5125	0.5775	0.54	0.5475
14	0.5575	0.525	0.545	0.6	0.58	0.5375	0.55	0.54	0.535	0.5675
15	0.5675	0.5625	0.595	0.5625	0.5525	0.525	0.5725	0.52	0.5125	0.54
16	0.5725	0.5375	0.5575	0.5325	0.545	0.49	0.5625	0.5075	0.5625	0.5675
17	0.56	0.57	0.58	0.5525	0.5525	0.5025	0.575	0.5275	0.53	0.59
18	0.565	0.57	0.5775	0.5625	0.5275	0.5475	0.58	0.5725	0.54	0.5475
19	0.5625	0.575	0.6025	0.5975	0.55	0.5975	0.6325	0.555	0.535	0.505
20	0.5725	0.54	0.62	0.6175	0.535	0.5875	0.6325	0.57	0.585	0.51
21	0.5575	0.5575	0.5875	0.5925	0.555	0.5675	0.6225	0.5775	0.5475	0.525
22	0.53	0.55	0.625	0.6025	0.5725	0.57	0.6325	0.55	0.59	0.53
23	0.535	0.5575	0.63	0.6075	0.595	0.55	0.625	0.5225	0.5375	0.545
24	0.515	0.5475	0.64	0.6125	0.5825	0.58	0.6375	0.515	0.5575	0.505
25	0.5275	0.56	0.62	0.5925	0.5775	0.5825	0.65	0.5375	0.525	0.5275
26	0.495	0.5625	0.605	0.5475	0.5975	0.58	0.6125	0.5075	0.51	0.5075
27	0.5275	0.5325	0.6325	0.5625	0.59	0.585	0.575	0.4725	0.535	0.5175
28	0.5325	0.49	0.665	0.6425	0.6225	0.5325	0.585	0.5175	0.555	0.5175
29	0.545	0.51	0.6225	0.575	0.5975	0.5675	0.5325	0.49	0.5525	0.5175
30	0.4825	0.52	0.575	0.5975	0.615	0.58	0.5475	0.485	0.58	0.5425
31	0.5325	0.5175	0.57	0.5875	0.615	0.5825	0.5625	0.505	0.555	0.5425
32	0.5675	0.555	0.5775	0.6	0.61	0.5225	0.5825	0.4975	0.5525	0.5025
33	0.5425	0.525	0.565	0.615	0.6175	0.485	0.555	0.5125	0.5275	0.52
